'a'a'a 啊啊啊
'huang'niao'zhi'qi 黄鸟之旗
'huang'niu'san'xia 黄牛三峡
'huang'nong'yu'xia 黄农虞夏
'huan'gong'tan'liu 桓公叹柳
'huang'pai'jing'gao 黄牌警告
'huang'pang'ri'tou 黄胖日头
'huang'pao'jia'shen 黄袍加身
'huang'pao'jia'ti 黄袍加体
'huang'pen'qi 黄喷漆
'huang'pi'gua'shou 黄皮寡瘦
'huang'pi'gua'shou 黄皮刮瘦
'huang'pi'gua'sou 黄皮刮廋
'huang'pi'gua'sou 黄皮寡廋
'huang'qiang'zou'ban 荒腔走板
'huang'qi'chuan'song'men 荒弃传送门
'huang'qi'de'zhuang'yuan 荒弃的庄园
'huang'qi'gui'wu 荒弃鬼屋
'huang'qi'ming 黄启铭
'huang'qing 黄青
'huang'qing'gong'zuo'shi 黄青工作室
'huang'qin'guo'qi 皇亲国戚
'huang'qing'zai'xian 黄青在线
'huang'qi'zi'gai 黄旗紫盖
'huang'quan'bei 黄犬悲
'huang'quan'tan 黄犬叹
'huang'quan'xiao'gui 黄泉小鬼
'huang'quan'yin'guai 黄犬音乖
'huang'quan'zhi'xia 黄泉之下
'huang'que'si'chan 黄雀伺蝉
'huang'que'xian'huan 黄雀衔环
'huang'que'zai'hou 黄雀在后
'huang'ran'da'wu 恍然大悟
'huang'ran'ru'meng 恍然如梦
'huang'ran'ruo'shi 恍然若失
'huang'ran'zi'shi 恍然自失
'huang'ren'peng'ri 黄人捧日
'huang'ren'shou'ri 黄人守日
'huang'ru'ge'shi 恍如隔世
'huang'ru'meng'jing 恍如梦境
'huang'ru'meng'mei 恍如梦寐
'huang'ruo'ge'shi 恍若隔世
'huang'se 黄色
'huang'se'gong'hui 黄色工会
'huang'se'ha'ka'lai'bao'shi 黄色哈卡莱宝石
'huang'se'pen'qi 黄色喷漆
'huang'se'qi'la'gong'ming'shui'jing 黄色其拉共鸣水晶
'huang'se'xing'xing'che'pai 黄色星星车牌
'huang'se'yan'hua'shu 黄色烟花束
'huang'shan'ye'ling 荒山野岭
'huang'shan'yi'shi 黄衫义士
'huang'shi'bao'yue 荒时暴月
'huang'shou'huang'jiao 慌手慌脚
'huang'shou'mang'jiao 慌手忙脚
'huang'shui'jing 黄水晶
'huang'shui'jing'sui'pian 黄水晶碎片
'huang'shui'jing'zhui'shi 黄水晶坠饰
'huang'shui'jing'zhui'zi 黄水晶坠子
'huang'song'bu'an 惶悚不安
'huang'tai'gua'ci 黄台瓜辞
'huang'tai'gua'wan 黄台瓜蔓
'huang'tai'zhi'gua 黄台之瓜
'huang'tang'bu'jing 荒唐不经
'huang'tang'dan'shui 黄汤淡水
'huang'tang'la'shui 黄汤辣水
'huang'tang'miu'you 荒唐谬悠
'huang'tang'wu'ji 荒唐无稽
'huang'tang'zhi'yan 荒唐之言
'huang'tian'bu'fu'ku'xin'ren 皇天不负苦心人
'huang'tian'bu'fu'you'xin'ren 皇天不负有心人
'huang'tian'hou'tu 皇天后土
'huang'tian'hou'tu'wan 皇天后土丸
'huang'tian'jiao'ri 黄天焦日
'huang'tian'mo'lao'yan 皇天无老眼
'huang'tian'shang'di 皇天上帝
'huang'tian'wu'qin 皇天无亲
'huang'tian'you'yan 皇天有眼
'huang'tong'bai'dian 黄童白颠
'huang'tong'bai'sou 黄童白叟
'huang'tong'hao'shou 黄童皓首
'huang'tou'nv'zhen 黄头女真
'huang'tou'shi'wei 黄头室韦
'huang'tou'xiao'ren 黄头小人
'huang'tu'bao'zi 黄土包子
'huang'tu'nu'li 荒土奴隶
'huan'guan 圜冠
'huan'gu'duo'tai 换骨夺胎
'huan'gu'tuo'tai 换骨脱胎
'huang'wei'guang 黄维光
'huang'wu 荒芜
'huang'wu'fei'xin 黄屋非心
'huang'wu'hu'tui 荒芜护腿
'huang'wu'jiang'jun 黄屋将军
'huang'wu'quan 荒芜犬
'huang'wu'ren'yan 荒无人烟
'huang'wu'shu'lun 黄屋朱轮
'huang'wu'zhan'jia 荒芜战甲
'huang'wu'zhi'di 荒芜之地
'huang'wu'zuo'dao 黄屋左纛
'huang'xiang'chuan 黄香传
'huang'xiang'shan'zhen 黄香扇枕
'huang'xuan 黄炫
'huang'xue'cao 皇血草
'huang'yan 黄眼
'huang'yang'e'run 黄杨厄闰
'huang'yang'ren'ren 黄羊任人
'huang'yan'lue'duo'zhe 黄眼掠夺者
'huang'yan'man'cao 荒烟蔓草
'huang'yan'ye'man 荒烟野蔓
'huang'ye 荒野
'huang'ye'bian'hua 黄冶变化
'huang'ye'chi'man 荒野齿蛮
'huang'ye'long'zhi 荒野龙蛭
'huang'ye'xuan'gui 荒野旋龟
'huang'ye'zao'chi 荒野凿齿
'huang'ye'zhi'zhang 荒野之杖
'huang'ying'bie'zhu 黄莺别主
'huang'yin'wu'chi 荒淫无耻
'huang'yin'wu'dao 荒淫无道
'huang'yin'wu'du 荒淫无度
'huang'yi'shi'zhe 黄衣使者
'huang'yu 黄玉
'huang'yuan'lang'zhu 荒原狼蛛
'huang'yuan'lang'zhu'wang 荒原狼蛛王
'huang'yuan'pi'feng 荒原披风
'huang'yu'jie'zhi 黄玉戒指
'huang'yun'bai'cao 黄云白草
'huang'yun'ling 黄韵玲
'huang'yu'xiang'lian 黄玉项链
'huang'yu'yao'pei 黄玉腰佩
'huang'yu'zhi'shi 黄玉之石
'huang'yu'zhi'shi'ji 黄玉之石级
'huang'zhang'huang'zhi 慌张慌智
'huang'zhang'shi'cuo 慌张失措
'huang'zhang'shi'sha 慌张势煞
'huang'zhen'yi 黄真伊
'huang'zhong'chang'qi 黄钟长弃
'huang'zhong'da'lv 黄钟大吕
'huang'zhong'hui'qi 黄锺毁弃
'huang'zhong'hui'qi 黄钟毁弃
'huang'zhong'hui'qi'wa'fu'lei'ming 黄钟毁弃瓦釜雷鸣
'huang'zhong'na'run 黄中内润
'huang'zhong'tong'li 黄中通理
'huang'zhong'wa'fou 黄锺瓦缶
'huang'zhong'wa'fou 黄钟瓦缶
'huang'zhong'wa'fu 黄钟瓦釜
'huang'zi'can'sun 荒子孱孙
'huang'zuo'yi'dui 慌做一堆
'huang'zuo'yi'tuan 慌做一团
'huang'zuo'yi'tuan 慌作一团
'huan'hai'feng'bo 宦海风波
'huan'hai'fu'chen 宦海浮沉
'huan'hai'sha 幻海沙
'huan'hai'wa'jue 驩咍嗢噱
'huan'han'da'hao 涣汗大号
'huan'hang 换行
'huan'hua'cao'tang 浣花草堂
'huan'huan 浣浣
'huan'huan'ai 换换爱
'huan'huan'xiang'kou 环环相扣
'huan'huan'xi'xi 欢欢喜喜
'huan'hu'gu'wu 欢呼鼓舞
'huan'hui'dian 环回点
'huan'hu'lei'dong 欢呼雷动
'huan'hun'xiu'cai 还魂秀才
'huan'hun'zhou 还魂咒
'huan'hu'que'yue 欢呼雀跃
'hua'ni'peng'xin 花貎蓬心
'hua'ni'yang'bo 滑泥扬波
'huan'ji 换机
'huan'ji 还击
'huan'jia'cao'ge 擐甲操戈
'huan'jia'hui'ge 擐甲挥戈
'huan'jiao 环礁
'huan'jiao'hu 环礁湖
'huan'jia'pi'pao 擐甲披袍
'huan'jia'zhi'bing 擐甲执兵
'huan'jia'zhi'rui 擐甲执锐
'huan'jin 换进
'huan'jing 幻境
'huan'jing 环境
'huan'jing'guang 环境光
'huan'jing'kong'zhi'biao 环境控制表
'huan'jing'shi'du 环境湿度
'huan'jing'shu 幻境术
'huan'jing'wen'du 环境温度
'huan'jing'ying'she 环境映射
'huan'ji'qing'zhong 缓急轻重
'huan'ji'xiang'ji 缓急相济
'huan'ju'yi'tang 欢聚一堂
'huan'ke 换客
'huan'lang'di 桓郎笛
'huan'le'da'luan'dou 欢乐大乱斗
'huan'lei'yao'dai 唤雷腰带
'huan'le'zhi'zao'qi 欢乐制造器
'huan'lie'zhi'yin 环列之尹
'huan'lin'bi'shui 环林璧水
'huan'ling'fu 幻灵符
'huan'ling'fu'gao'ji 幻灵符高级
'huan'ling'jian 幻灵剑
'huan'ling'yu'pian 幻灵玉片
'huan'ling'zhi'ren 唤灵之刃
'huan'li'tong'suo 环利通索
'huan'liu'yi'hua 换柳移花
'huan'long'pi'feng 幻胧披风
'huan'luo'shu 缓落术
'huan'mei'da'yan 欢眉大眼
'huan'miao'ai'xie 欢苗爱叶
'huan'ming 换名
'huan'ming'huan'chong'qi 换名缓冲器
'huan'mo'shi 唤魔师
'huan'nan'fu'qi 患难夫妻
'huan'nang'qing'ku 宦囊清苦
'huan'nang'xiu'se 宦囊羞涩
'huan'nan'jian'zhen'qing 患难见真情
'huan'nan'jian'zhi'ji 患难见知己
'huan'nan'xiang'fu 患难相扶
'huan'nan'xiang'gong 患难相共
'huan'nan'xiang'si 患难相死
'huan'nan'xiang'xu 患难相恤
'huan'nan'yu'gong 患难与共
'huan'nan'zhi'jiao 患难之交
'huan'nian'que'lao 还年却老
'huan'nian'zhu'se 还年驻色
'huan'ou 换偶
'huan'ou'ju'le'bu 换偶俱乐部
'huan'pan 涣泮
'hu'an'pa'xing'zhe 湖岸爬行者
'hu'an'pa'xing'zhe'tai'xian 湖岸爬行者苔藓
'huan'pei'er'xing 缓辔而行
'hu'an'qian'cang'zhe 湖岸潜藏者
'huan'ran 涣然
'huan'ran'bing'shi 涣然冰释
'huan'ran'bing'shi 焕然冰释
'huan'ran'bing'xiao 涣然冰消
'huan'ran'ru'xin 焕然如新
'huan'ran'yi'xin 焕然一新
'huan'ri'tou'tian 换日偷天
'huan'ru'bing'shi 涣如冰释
'huan'ruo'bing'shi 涣若冰释
'huan'ruo'bing'xiao 涣若冰消
'huan'ruo'ping'sheng 欢若平生
'huan'se'guo'yi 幻色裹衣
'huan'shan'zhi'qi 桓山之泣
'huan'sha'zhe'xin'sa'la 唤沙者辛萨拉
'huan'shen 幻神
'huan'sheng'lei'dong 欢声雷动
'huan'sheng'ru'lei 欢声如雷
'huan'sheng'suo'hu 患生所忽
'huan'sheng'xiao'yu 欢声笑语
'huan'shou'zhua'bei 换手抓背
'huan'shu'shi 幻术师
'huan'shu'shi'tao'zhuang 幻术师套装
'huan'tang'bu'huan'yao 换汤不换药
'huan'tian 幻天
'huan'tian'jie 幻天戒
'huan'tian'xi'di 欢天喜地
'huan'tu 换图
'huan'wei 换位
'huan'wen'bian'ge 欢闻变歌
'huan'wo'he'shan 还我河山
'huan'wu 环雾
'huan'wu'pi'feng 环雾披风
'huan'wu'yin'yue'jian 幻舞隐月剑
'huan'xiang 幻想
'huan'xiang'hu'fu 幻像护符
'huan'xiang'ran'liao 幻象染料
'huan'xiang'yin'xing 幻象隐形
'huan'xiang'zhi'chen 幻象之尘
'huan'xiang'zhi'ying 幻象之影
'huan'xiang'zhou'jin 还乡昼锦
'huan'xing 唤醒
'huan'xing'deng'dai 唤醒等待
'huan'xing'hao'jiao 唤醒号角
'huan'xing'he'shi'ci'dai 环形盒式磁带
'huan'xing'huan'chong 环形缓冲
'huan'xing'jing'shen 唤醒精神
'huan'xing'shan 环形山
'huan'xin'gu'wu 欢忻鼓舞
'huan'xin'gu'wu 欢欣鼓舞
'huan'xin'gu'wu 懽忻鼓舞
'huan'xing'yuan'yu 唤醒原语
'huan'xing'zi'fu 唤醒字符
'huan'xin'ruo'kuang 欢欣若狂
'huan'xin'yong'yue 欢忻踊跃
'huan'xin'yong'yue 欢欣踊跃
'huan'xiong'shu'yao 浣熊束腰
'huan'xi'ruo'kuang 欢喜若狂
'huan'xi'yuan'jia 欢喜冤家
'huan'yang'nian'he'ji 环氧黏合剂
'huan'ye 环谒
'huan'ye 换页
'huan'yi'fei'shi 浣衣菲食
'huan'ying'fang'ke 幻影访客
'huan'ying'fa'zhang 幻影法杖
'huan'ying'pu'cong 幻影仆从
'huan'ying'zhi'chen 幻影之尘
'huan'ying'zhi'jia 幻影之甲
'huan'ying'zhi'ren 幻影之刃
'huan'ying'zhi'xue 幻影之靴
'huan'yi'san'nong 桓伊三弄
'huan'yi'zheng 桓伊筝
'huan'yuan 还原
'huan'yuan'fan'ben 还原反本
'huan'yue 唤月
'huan'yu'xian'ye'duan 欢娱嫌夜短
'huan'yu'yi'gong 换羽移宫
'huan'yu'zhe 唤雨者
'huan'zai'shu 患在鼠
'huan'zhan 环站
'huan'zhi'hu'tian 患至呼天
'huan'zhi'qi'ren'zhi'shen 还治其人之身
'huan'zhuang'wang 环状网
'huan'zhu'fan'bi 还珠返璧
'huan'zhu'he'pu 还珠合浦
'huan'zhu'mai'du 还珠买椟
'huan'zi'wen'zhang 换字文章
'hua'piao'qiao'zhuo 华朴巧拙
'hua'ping'cheng'fen 画瓶盛粪
'hua'pi'qing'yu 滑皮鲭鱼
'hua'po 华魄
'hua'qiang'yao'gu 花腔腰鼓
'hua'qian'yue'xia 花前月下
'hua'qu 化去
'hua'quan'xiu'tui 花拳绣腿
'hua'qu'liu'mo 花衢柳陌
'hua're'hong'gou 画若鸿沟
'hua'ren 滑刃
'hua'ren'nan'hua'gui'yi 画人难画鬼易
'hua'ri'guang'tian 化日光天
'hua'rong'shi'se 花容失色
'hua'rong'yue'mao 花容月貌
'hua'ruo'yan'cao 化若偃草
'hua'ru'tao'li 华如桃李
'hua'se'wu'cang 化色五仓
'hua'sha'ju'mi 画沙聚米
'hua'shan'lun'jian 华山论剑
'hua'sha'yin'ni 画沙印泥
'hua'she 化蛇
'hua'shen 花神
'hua'shen'fa'yi 化身法衣
'hua'sheng'jin'pen 化生金盆
'hua'sheng'man'lu 花生满路
'hua'shen'sheng'zhuang 化身圣装
'hua'shen'zhi'xi 花神之息
'hua'she'tian'jiao 画蛇添脚
'hua'she'tian'zu 画蛇添足
'hua'she'zhuo'zu 画蛇著足
'hua'shi 化石
'hua'shi 滑石
'hua'shi'dong'su 哗世动俗
'hua'shi'he'ji 化石合剂
'hua'shi'qu'chong 哗世取宠
'hua'shi'qu'ming 哗世取名
'hua'shi'xiang'chen 华实相称
'hua'shi'xiang'lian 化石项链
'hua'shi'yao'shui 化石药水
'hua'shou 花兽
'hua'shui'lou'bing 画水镂冰
'hua'shuo'liu'shuo 花说柳说
'hua'tai 华泰
'hua'ta'jing'guang 滑塌精光
'hua'tang'qiang 滑膛枪
'hua'tian'jin'di 花天锦地
'hua'tian'jiu'di 花天酒地
'hua'tian'mi'jiu 花甜蜜就
'hua'tian'mi'zui 花甜蜜嘴
'hua'tian'xia'zhi'da'ji 滑天下之大稽
'hua'tie'wei'jin 化铁为金
'hua'ting'gui'meng 华亭归梦
'hua'ting'he'li 华亭鹤唳
'hua'ti'xiao'zu 话题小组
'hua'tou'hua'nao 滑头滑脑
'hua'tuan'jin'cu 花团锦簇
'hua'tu'fen'gong 画土分贡
'hua'tu'fen'jiang 画土分疆
'hua'tui'xian'han 花腿闲汉
'hua'wai'zhi'min 化外之民
'hua'wai'zhi'yin 画外之音
'hua'wa'shu'fu 画瓦书符
'hua'wei'hui'jin 化为灰烬
'hua'wei'pao'ying 化为泡影
'hua'wei'wu'you 化为乌有
'hua'wei'yi'wu 化为异物
'hua'wu'bai'ri'hong 花无百日红
'hua'wu'qiu'shan 华屋丘山
'hua'wu'qiu'xu 华屋秋墟
'hua'wu'qiu'xu 华屋丘墟
'hua'wu'shan'qiu 华屋山丘
'hua'wu'you'bai'ri'hong 花无有百日红
'hua'xia'ge'ren'wen'xue'wang 华夏个人文学网
'hua'xia'lan'chou 华夏蓝筹
'hua'xiang'niao'yu 花香鸟语
'hua'xiang'zhe'an'di'lu'si 滑翔者安蒂鲁斯
'hua'xian'wei'yi 化险为夷
'hua'xiao'wei'jiu 化枭为鸠
'hua'xia'shai'kun 花下晒裈
'hua'xie'cheng'bi 化血成碧
'hua'xing'chong 滑行虫
'hua'xing'qiu'yue 华星秋月
'hua'xing'qi'wei 化性起僞
'hua'xing'qi'wei 化性起伪
'hua'xin'nian'hua 花信年华
'hua'xiong 画熊
'hua'xu'die'mang 花须蝶芒
'hua'xue 化血
'hua'xue'chang 滑雪场
'hua'xue'cheng'mo 化血成魔
'hua'xue'jia'a'er'bi'dun 化学家阿尔比顿
'hua'xue'jia'fu'lei 化学家弗雷
'hua'xu'zhi'guo 华胥之国
'hua'xu'zhi'meng 华胥之梦
'hua'yang'bu'tong 花样不同
'hua'yang'fan'xin 花样翻新
'hua'yang'xin'fan 花样新翻
'hua'yan'hua'yu 话言话语
'hua'yan'liu'mei 花嫣柳媚
'hua'yan'qiao'yu 花言巧语
'hua'yan'shi'jie 华严世界
'hua'yan'yue'mao 花颜月貌
'hua'ye'fen'jiang 画野分疆
'hua'yi'bu'er 划一不二
'hua'yi'mu'jie 花移木接
'hua'ying'bin'fen 花影缤纷
'hua'ying'jin'zhen 花营锦阵
'hua'ying'tu'xing 画影图形
'hua'yin'tu'ya 画蚓涂鸦
'hua'yin'you'jian 话音邮件
'hua'yi'shi'qing 画意诗情
'hua'yi'zhi'fa 画一之法
'hua'yi'zhi'ge 画一之歌
'hua'yuan'guan'mian 画苑冠冕
'hua'yuan'lu'jing'ju'zi 花园路径句子
'hua'yu'che 花语车
'hua'yu'chun'feng 化雨春风
'hua'yu'dan 化淤丹
'hua'yu'duan'ji 划粥断齑
'hua'yu'er'shi 划粥而食
'hua'yue'zhi'shen 花月之身
'hua'yu'fen'xi 话语分析
'hua'yu'mo'xing 话语模型
'hua'yu'sheng'cheng 话语生成
'hua'zhang 化杖
'hua'zhao'yue'xi 花朝月夕
'hua'zhao'yue'ye 花朝月夜
'hua'zhe'liu'yan 花遮柳掩
'hua'zhe'liu'yin 花遮柳隐
'hua'zheng'wei'ling 化整为零
'hua'zhi 画雉
'hua'zhi'lou'bing 画脂镂冰
'hua'zhi'luan'chan 花枝乱颤
'hua'zhi'zhao'chan 花枝招颤
'hua'zhi'zhao'zhan 花枝招飐
'hua'zhi'zhao'zhan 花枝招展
'hua'zhi'zhao'zhan 花枝招颭
'hua'zhong'dai'ci 话中带刺
'hua'zhong'hua 画中画
'hua'zhong'qu'chong 哗众取宠
'hua'zhong'you'hua 话中有话
'hua'zhong'you'shi 画中有诗
'hua'zhou'ge'ji 划粥割齑
'hua'zhu'dong'fang 花烛洞房
'hua'zhu'hong'zhuang 花烛红妆
'hua'zi 华子
'hua'zui'hua'she 花嘴花舌
'hu'bai 胡柏
'hu'bai'qiu 狐白裘
'hu'ban'xia'qi 虎斑霞绮
'hu'bao'bu'wai'ji'zhao 虎豹不外其爪
'hu'bao'chai'lang 虎豹豺狼
'hu'bao'chi'yan 虎饱鸱咽
'hu'bao'jiu'guan 虎豹九关
'hu'bao'lang'chong 虎豹狼虫
'hu'bao'zhi'ju 虎豹之驹
'hu'bao'zhi'wen 虎豹之文
'hu'bei'xiong'yao 虎背熊腰
'hu'ben'gao'shan 虎奔高山
'hu'ben'shu'cuan 狐奔鼠窜
'hu'ben'yuan'ban 虎体鹓斑
'hu'ben'yuan'ban 虎体原斑
'hu'ben'yuan'ban 虎体鹓班
'hu'ben'zhong'lang 虎贲中郎
'hu'bi 护臂
'hu'bian'bu'ce 虎变不测
'hu'bian'da'dao 湖边大道
'hu'bian'long'zheng 虎变龙蒸
'hu'bian'luan'zao 胡编乱造
'hu'bian'xi'sui'lu 虎鞭洗髓露
'hu'biao 弧标
'hu'bi'le'han 呼毕勒罕
'hu'bo'tong'chuang 互剥痛疮
'hu'bu'er'xiong 狐不二雄
'hu'bu'ji'xi 呼不给吸
'hu'bu'long'xing 虎步龙行
'hu'bu'shi'er 虎不食儿
'hu'bu'xiang'rong 互不相容
'hu'cai'jiao'wu 怙才骄物
'hu'cai'luan'dao 胡猜乱道
'hu'cai'luan'xiang 胡猜乱想
'hu'cao'can'jun 户曹参军
'hu'cao'shang'shu 户曹尚书
'hu'cao'zuo'xing 互操作性
'hu'chang'xiao'he 狐唱枭和
'hu'chao'bing'feng 护巢兵蜂
'hu'chao'gong'feng 护巢工蜂
'hu'chao'long'xiang 虎超龙骧
'hu'che'ba'liu 胡扯八溜
'hu'chi'bian'qian 互斥变迁
'hu'chi'hai'he 胡吃海喝
'hu'chi'hai'he 湖吃海喝
'hu'chi'hai'sai 胡吃海塞
'hu'chi'shi'yong'fang'shi 互斥使用方式
'hu'chong 许重
'hu'chui'hai'shuai 胡吹海摔
'hu'chui'luan'beng 胡吹乱嗙
'hu'da'er 胡达尔
'hu'da'hai'shuai 胡打海摔
'hu'dai'bu'shi'er 虎毒不食儿
'hu'dang'hu'chai 虎党狐侪
'hu'dang'yang'qun 虎荡羊群
'hu'da'shang'ren 虎大伤人
'hu'die'meng 胡蝶梦
'hu'die'qun'qun'zi 蝴蝶裙裙子
'hu'die'qun'shang'yi 蝴蝶裙上衣
'hu'die'qun'xie'zi 蝴蝶裙鞋子
'hu'die'shuang'dao 蝴蝶双刀
'hu'dou'long'zheng 虎鬭龙争
'hu'dou'long'zheng 虎斗龙争
'hu'du'jiang 虎渡江
'hu'e'bu'gai 怙恶不改
'hu'en'shi'chong 怙恩恃宠
'hu'er'ba'cha 胡儿八杈
'hu'er'ba'yue 胡二巴越
'hu'er'cao 虎耳草
'hu'er'cu'er 嘑尔蹴尔
'hu'er'cu'er 呼尔蹴尔
'hu'er'guan 虎而冠
'hu'er'guan'zhe 虎而冠者
'hu'fa 护法
'hu'fa'jin'gang 护法金刚
'hu'fa'shan'shen 护法善神
'hu'fei'zhong'shou 胡肥锺瘦
'hu'fei'zhong'shou 胡肥钟瘦
'hu'feng'huan'yu 呼风唤雨
'hu'feng'yao'pei 虎风腰佩
'hu'fu 护符
'hu'fu'long'jie 虎符龙节
'hu'fu'qi'she 胡服骑射
'hu'fu'wu'quan'zi 虎父无犬子
'hu'fu'xia 护符匣
'hu'fu'xia'sui'pian 护符匣碎片
'hu'gao'ren'xiao 户告人晓
'hu'gei'ren'zu 户给人足
'hu'geng'hu'gui 呼庚呼癸
'hu'geng'shang'jia 楛耕伤稼
'hu'ge'ye'diao 胡歌野调
'hu'gong'he'lu 呼红喝绿
'hu'gong'long 壶公龙
'hu'gong'zuo 互工作
'hu'gu 虎骨
'hu'guang'hu'fu 弧光护符
'hu'guang'shan'se 湖光山色
'hu'guan'zhi'li 虎冠之吏
'hu'gui'man'shen 唬鬼瞒神
'hu'guo'bu'quan 怙过不悛
'hu'guo'shi'fei 护过饰非
'hu'guo'you'min 护国佑民
'hu'gu'xiang'lian 虎骨项链
'hu'hai'piao'ling 湖海飘零
'hu'hai'qi 湖海气
'hu'hai'shi 湖海士
'hu'hai'zhi'shi 湖海之士
'hu'hang'luan'nao 胡行乱闹
'hu'hang'luan'wei 胡行乱为
'hu'hong'tang'tie 戏鸿堂帖
'hu'huan 互换
'hu'huan'dian'lu 互换电路
'hu'huan'xing 互换性
'hu'hu'bu'le 忽忽不乐
'hu'hu'ma'ma 胡胡麻麻
'hu'hu'ru'kuang 忽忽如狂
'hu'hu'shi'shi 虎虎势势
'hu'hu'tu'tu 糊糊涂涂
'hu'hu'you'sheng'qi 虎虎有生气
'hu'hu'you'you 忽忽悠悠
'hu'hu'zhi'wei 狐虎之威
'hui'bai'tui'guo 讳败推过
'hui'bian 回边
'hui'bian 汇编
'hui'bian'cheng'xu 汇编程序
'hui'bian'qi 汇编器
'hui'bian'yu'yan 汇编语言
'hui'bing'wei'xing 讳兵畏刑
'hui'bo 回拨
'hui'bo 回波
'hui'bu'chang'pao 灰布长袍
'hui'bu'chang'xue 灰布长靴
'hui'bu'dang'chu 悔不当初
'hui'bu'duan'ku 灰布短裤
'hui'bu'la'ji 灰不喇唧
'hui'bu'liu'diu 灰不溜丢
'hui'bu'mie'xing 毁不灭性
'hui'bu'pi'feng 灰布披风
'hui'bu'shou'tao 灰布手套
'hui'bu'wai'yi 灰布外衣
'hui'bu'wei'shen 毁不危身
'hui'chang'bai'zhuan 回肠百转
'hui'chang'cun'duan 回肠寸断
'hui'chang'dang'qi 回肠荡气
'hui'chang'jie'qi 回肠结气
'hui'chang'jiu'zhuan 回肠九转
'hui'chang'san'chi 喙长三尺
'hui'chang'shang'qi 回肠伤气
'hui'cheng'shu 回城术
'hui'chen'li'chang 灰尘力场
'hui'chen'pao'xiao'zhe 灰尘咆哮者
'hui'chen'zhi'yun 灰尘之云
'hui'chen'zuo'xi 回嗔作喜
'hui'chen'zuo'xi 回瞋作喜
'hui'che'sha'ma 毁车杀马
'hui'chi'ba'ji 麾斥八极
'hui'chi'ba'ji 挥斥八极
'hui'chou'zhuan'ce 回筹转策
'hui'chuan'zhuan'duo 回船转舵
'hui'chun'miao'shou 回春妙手
'hui'chun'shu 回春术
'hui'chun'yao'shui 回春药水
'hui'chun'zeng'xiao 回春增效
'hui'chun'zhi'shu 回春之术
'hui'cui'yi'tang 荟萃一堂
'hui'da'mo'shi 回答模式
'hui'dan'chou'chang 隳胆抽肠
'hui'dao'hui'yin 诲盗诲淫
'hui'dao'neng'shuo 会道能说
'hui'de'gou'xing 秽德垢行
'hui'de'zhang'wen 秽德彰闻
'hui'dian 汇点
'hui'di'ru'jue'he 溃敌如决河
'hui'du 灰度
'hui'du'bian'huan 灰度变换
'hui'du'ji 灰度级
'hui'du'nan'hua 悔读南华
'hui'du'tu'xiang 灰度图像
'hui'du'yu'zhi 灰度阈值
'hui'e'bu'quan 讳恶不悛
'hui'er'bu'fei 惠而不费
'hui'er'bu'juan 诲而不倦
'hui'er'zhun'zhun 诲尔谆谆
'hui'er'zhun'zhun'ting'wo'miao'miao 诲尔谆谆听我藐藐
'hui'fa 灰发
'hui'fang 回放
'hui'fang'guan'shang'quan 回放观赏券
'hui'fang'quan 回放券
'hui'fang'she'xiang'ji 回放摄像机
'hui'fang'tou'yuan 毁方投圆
'hui'fang'wa'he 毁方瓦合
'hui'fan'hua'tu 篲泛画涂
'hui'fan'hua'tu 彗泛画涂
'hui'fan'hua'tu 彗氾画涂
'hui'fei'chong'su 灰飞冲素
'hui'fei'yan'mie 灰飞烟灭
'hui'feng'bai'su 毁风败俗
'hui'feng'he'chang 惠风和畅
'hui'feng'qi'shi 会逢其适
'hui'feng'qi'shi 会逢其適
'hui'fu 恢富
'hui'fu 回复
'hui'fu 恢复
'hui'fu'bao'shi 恢复宝石
'hui'fu'chi'xu'shi'jian'yan'chang 恢复持续时间延长
'hui'fu'diao'wen 恢复雕文
'hui'fu'fa'li 恢复法力
'hui'fu'hu'jian 恢复护肩
'hui'fu'kuai 恢复块
'hui'fu'lao'xiong 灰腹老熊
'hui'fu'neng'li 恢复能力
'hui'fu'neng'liang 恢复能量
'hui'fu'shan'chu 恢复删除
'hui'fu'sheng'ming 恢复生命
'hui'fu'sheng'qi 恢复圣契
'hui'fu'shou'tao 恢复手套
'hui'fu'shui'jing 恢复水晶
'hui'fu'tu'teng 恢复图腾
'hui'fu'xiang'gao 恢复香膏
'hui'fu'yao'shui 恢复药水
'hui'fu'zhi 恢复之
'hui'fu'zhi'gu 恢复之鼓
'hui'gan'chang'dan 隳肝尝胆
'hui'gan'jiu'shi 回干就湿
'hui'gan'jiu'shi 回乾就湿
'hui'gan'li'dan 隳肝沥胆
'hui'ge 挥戈
'hui'ge'fan'ri 挥戈反日
'hui'ge'fan'ri 挥戈返日
'hui'ge'hui'ri 挥戈回日
'hui'ge'shen'ru 挥戈深入
'hui'ge'tui'ri 挥戈退日
'hui'gu 灰谷
'hui'guang'fan'zhao 回光返照
'hui'guang'fan'zhao 回光反照
'hui'guang'ri'xin 辉光日新
'hui'guang'ri'xin 晖光日新
'hui'guan'lie'chang 毁冠裂裳
'hui'guan'xing'che 嘒管行车
'hui'gu'bu'zhi'chun'qiu 蟪蛄不知春秋
'hui'gui'ce'shi 回归测试
'hui'gui'jue'guai 恢诡谲怪
'hui'gui'jue'guai 恢恑憰怪
'hui'gu'ju'xiong 灰谷巨熊
'hui'guo'zi'chan 悔过自忏
