'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'chou'yun'chui'chui'yu'yin'yin 愁云垂垂雨淫淫
'chou'yun'hen'yu'liang'qian'ying 愁云恨雨两牵萦
'chou'yun'nu'feng'xiang'zhui'zhu 愁云怒风相追逐
'chou'yun'sui'gai'zhuai 愁云随盖转
'chou'zhang'shao'fu 酬张少府
'chou'zhen'bai'yun'mian 愁枕白云眠
'chou'zhi'bu'zhi'xin 愁至不知心
'chou'zhi'deng'zao'po 酬之等糟粕
'chou'zhi'er'mao'qian 愁值二毛前
'chou'zhi'ru'fa 绸直如发
'chou'zhi'yuan'gan'qin 愁至愿甘寝
'chou'zhong'shu'mu'chun 愁中属暮春
'chou'zhong'you'guan'shi 仇中有管氏
'chou'zhu'qian'nian'shao 愁逐前年少
'chou'zi'liao'de 愁字了得
'chou'zuo'bei'ting'yin 愁坐北庭阴
'chou'zuo'lou'hua'sheng 愁坐露华生
'chuai'guo'shi'zhi'zhen'wei'yong 啜过始知真味永
'chu'ai'jiu'feng'ming 雏哀九凤鸣
'chuan'bei'ba'bi'guo'nian'nian 传杯把笔过年年
'chuan'bei'wei'wei'jian 传杯惟畏浅
'chuan'bo'an'liu'chun'quan'hui 川波岸柳春全回
'chuan'bo'zhao 川拨棹
'chuan'bu'xi'hu 传不习乎
'chuan'chang'lie'qi'xi 川长猎骑稀
'chuan'chang'man'cao'lu 川长蔓草绿
'chuan'chang'ri'yun'mu 川长日云暮
'chuan'chang'sai'niao'lai 川长思鸟来
'chuan'chang'wu'qi'shou 川长雾气收
'chuan'chang'xiao'qi'gao 川长晓气高
'chuan'cheng'guo'ju'luo 穿城过聚落
'chuan'che'song'qiong'bei 传车送穷北
'chuan'chi'die'shi'xie'peng'hu 穿池叠石写蓬壶
'chuan'chi'er'yang'gei 穿池而养给
'chuan'chi'ning'you'ci 川坻宁有此
'chuan'chuang'wo'du'shu'wan'juan 船窗卧读书万卷
'chuan'chuang'ye'zi'ming 船窗夜自明
'chuan'chuan'ran'jiang'si 喘喘然将死
'chuan'dai'xing'qun'chen 传代幸群臣
'chuan'dao'chang'an'chun'zao'lai 传道长安春早来
'chuan'dao'e'mei'hua'bu'ru 传道蛾眉画不如
'chuan'dao'feng'guang'wu'xian'ji 传道风光无限极
'chuan'dao'gu'song'zui'chu'qun 传道孤松最出群
'chuan'dao'jiang'nan'xi'ke'zhi 传到江南喜可知
'chuan'dao'jiang'xin'bu'lou'chi 船到江心补漏迟
'chuan'dao'qiao'men'zi'hui'zhi 船到桥门自会直
'chuan'dao'tian'bo'wan'li'tong 传道天波万里通
'chuan'dao'xian'xing'yuan 传道仙星媛
'chuan'dao'xun'xian'you 传道寻仙友
'chuan'de'feng'huang'sheng 传得凤凰声
'chuan'de'huang'zhou'xin'ju'fa 传得黄州新句法
'chuan'dei'xin'shi'xi'zuo'hang 传得新诗细作行
'chuan'de'jia'ming'ru'yan'ge 传得佳名入艳歌
'chuan'deng'jing'bu'qiong 传灯竟不穷
'chuan'di'miao'miao'he 川低渺渺河
'chuan'di'piao'yao'feng'song'bo 船底飘颻风送波
'chuan'dong'ying'ming'suo 钏动应鸣梭
'chuan'fa'guan'men'hou 传发关门候
'chuan'fang'han'hai'zhong 传芳瀚海中
'chuan'fa'zi'nan'hua 传法自南华
'chuan'fei'qi'ren'kong'fei'qian 传非其人恐飞骞
'chuan'gan'gui'yi'man'chao'yi 传柑归遗满朝衣
'chuang'an'wang'luo'bai 窗暗网罗白
'chuang'bi'han'feng'qiu'qi'du 窗壁含风秋气度
'chuang'bi'ju'yi'chao 窗壁具一朝
'chuang'can'ye'yue'ren'he'chu 窗残夜月人何处
'chuang'chuang'bi'lou'you'ren'wu 床床避漏幽人屋
'chuang'chuang'wu'lou'wu'gan'chu 床床屋漏无乾处
'chuang'di'song'sheng'wan'he'ai 床底松声万壑哀
'chuan'ge'cheng'yin'feng 传歌盛饮丰
'chuan'ge'gong'rao'liang 传歌共绕梁
'chuan'ge'huang'cun'ye'qiao'qiao 船阁荒村夜悄悄
'chuang'fei'jing'wu'chen 窗扉静无尘
'chuang'feng'chao'xi'xia 创封超昔夏
'chuang'feng'wen'zi'fan'ye'ye 窗风文字翻叶叶
'chuang'feng'xi'xi'chui 床风细细吹
'chuang'fu'chui'yang'nuan 窗覆垂杨暖
'chuang'gao'dan'jing'lin 窗高石镜临
'chuang'ge'can'yan'lian'ying'yue 窗隔残烟帘映月
'chuang'gui'sui'you'zuo 创规虽有作
'chuang'han'xi'ling'qian'qiu'xue 窗含西岭千秋雪
'chuang'han'yan'jing'zhi'fu'kong 窗含烟景直浮空
'chuang'heng'mu'juan'xie 窗横暮卷叶
'chuang'jian'an'dan'yue'han'wu 窗间暗淡月含雾
'chuang'jian'dan'jian'ying'zuan'zhi 窗间但见蝇钻纸
'chuang'jian'guang'ying'wan'lai'xin 窗间光影晚来新
'chuang'jian'mo'zuo'dei'xuan'zhu 窗间默坐得玄珠
'chuang'jian'shou'gong'cheng'xie'hu 窗间守宫称蝎虎
'chuang'jian'suo'jian 窗间所见
'chuang'jian'xie'yue'liang'mei'chou 窗间斜月两眉愁
'chuang'ji'dou'can'shu 床积读残书
'chuang'jie'du'gao'han 幢节度高寒
'chuang'jin'fa'gu'xia'yu'guan 摐金伐鼓下榆关
'chuang'jin'gu'bu'cang'long 摐金顾步苍龙
'chuang'jin'han'ye'ji 摐金寒野霁
'chuang'jin'shi'jiu'chong 摐金侍九重
'chuang'jin'xia'di'jun 摐金下帝钧
'chuang'jin'yan'zai'si 摐金宴宰司
'chuang'jiong'qin'deng'leng 窗迥侵灯冷
'chuang'jiong'shi'you'you 窗迥室幽幽
'chuang'kong'an'la'ni 床空暗落泥
'chuang'liang'ju'zhe'qing 怆悢居者情
'chuang'li'lian'deng'an 窗里怜灯暗
'chuang'lin'feng'huang'zhao 窗临凤凰沼
'chuang'liu'ban'yue'xie 窗留半月斜
'chuang'ming'liang'bu'jie 窗明两不借
'chuang'ming'ye'yi'xin 窗明野意新
'chuang'qian'an'xiang'ming'ku'ye 窗前暗响鸣枯叶
'chuang'qian'dui'wu'tong 窗前堆梧桐
'chuang'qian'hao'shu'ming'mei'gui 窗前好树名玫瑰
'chuang'qian'hong'tan'ping'huo'lu 床前红毯平火炉
'chuang'qian'hong'zhu'ye'hu'lu 床前红烛夜呼卢
'chuang'qian'kan'yue'guang 床前看月光
'chuang'qian'ming'yue'guang 床前明月光
'chuang'qian'niu'yi'bu'ceng'wen 床前牛蚁不曾闻
'chuang'qian'shan'yu'ye'lang'lang 窗前山雨夜浪浪
'chuang'qian'shei'chong'ba'jiao'shu 窗前谁种芭蕉树
'chuang'qian'wei'yue'zhao'wang'wang 窗前微月照汪汪
'chuang'qian'xiu'zhu'yi'chi'wei 窗前修竹一尺围
'chuang'ran'an'jing 怆然暗惊
'chuang'sha'bao 窗纱薄
'chuang'shang'er'shu'zhan'qu'shu 床上二姝展氍毹
'chuang'ting'hai'chao'fei'shi'yin 窗听海潮非世音
'chuang'tou'che'ma'dao 床头车马道
'chuang'tou'jin'qin'ban'fu'ban 床头锦衾斑复斑
'chuang'tou'jin'qin'wei'hai'ke 床头锦衾未还客
'chuang'tou'jiu'weng'sheng'chen'tu 床头酒瓮生尘土
'chuang'tou'shu'ce'luan'fen'fen 床头书册乱纷纷
'chuang'tou'wu'lou'wu'gan'chu 床头屋漏无干处
'chuang'tou'yan'shi'kai'yun'yue 床头砚石开云月
'chuang'tou'you'bai'jiu 床头有白酒
'chuang'tou'za'shuo'wei'pa'shu 床头杂说为爬梳
'chuang'tou'zhen'chi'dao 床头枕驰道
'chuan'guang'yao'shui'jian 川光摇水箭
'chuan'guan'jie'lan'zheng'yi'you 船官解缆正夷犹
'chuan'guan'shen'wu'hu 传观慎勿许
'chuan'guo'wei'you'gu'pu'sheng 船过惟有菰蒲声
'chuan'gu'shang'qing'xiang 传鼓上清湘
'chuan'gu'you'jiu'tu 川谷犹旧途
'chuang'wai'bei'feng'nu'wei'yi 窗外北风怒未已
'chuang'wai'han'ji'tian'yu'shu 窗外寒鸡天欲曙
'chuang'wai'jian'guang'chu'chu'qiao 窗外剑光初出鞘
'chuang'wai'qi'chui'xu'ri'chu 窗外齐垂旭日初
'chuang'wai'qing'shan'bu'shi'qing 窗外青山不世情
'chuang'wai'shan'xiao'li 窗外山魈立
'chuang'wai'shu'mei'shai'yue'ying 窗外疏梅筛月影
'chuang'wai'yi'zhu'mei 窗外一株梅
'chuang'wai'yue'hua'shuang'chong 窗外月华霜重
'chuang'wai'zhi'zhi'hai'shi'liu 窗外枝枝海石榴
'chuang'wei'you'wei'qi 疮痏有未起
'chuang'xia'bai'long'luan 床下拜龙鸾
'chuang'xia'gui'han'ju'nai'zhi 床下龟寒且耐支
'chuang'xia'ming'lao'wei 床下鸣络纬
'chuang'xiao'ting'ming'ji 窗晓听鸣鸡
'chuang'xiao'yin'ri'zuo 窗晓吟日坐
'chuang'xia'ri'chang'yi'du'shu 窗下日长宜读书
'chuang'xia'xue'shuang'qin'hu'yue 床下雪霜侵户月
'chuang'xia'yi'ya'wei'chu'lao 窗下咿哑惟楚老
'chuang'xie'gua'chong'si 窗叶挂虫丝
'chuang'xu'ke'meng'lan 窗虚客梦阑
'chuang'yao'yu'nv'fei 窗摇玉女扉
'chuang'ye'jian'nan'bai'zhan'duo 创业艰难百战多
'chuang'yin'yi'jian 窗阴一箭
'chuang'you'jian'xi'pan'you'yu 床有菅席盘有鱼
'chuang'yue'pai'huai 窗月徘徊
'chuang'zai'wu'tong'ye'di 窗在梧桐叶底
'chuang'zhong'du'zi'qi 窗中独自起
'chuang'zhong'fei'cui'dong 窗中翡翠动
'chuang'zhong'nv'zi'sheng'ji'ji 窗中女子声唧唧
'chuang'zhong'si'ba'lao 窗中丝罢络
'chuang'zhong'yuan'shan'shi'mei'dai 窗中远山是眉黛
'chuang'zhong'yue'ying'lin 窗中月影临
'chuang'zuo'lue'rong'ma'jie'jie 床座畧容摩诘借
'chuan'hang'yu'ying'zhou 船行欲映洲
'chuan'heng'ba'lian'kuo 川横八练阔
'chuan'hou'bu'chou'wei'bu'wa 川后不愁微步袜
'chuan'hua'cu'ta'qian'qiu'suo 穿花蹴踏千秋索
'chuan'hua'jia'die'shen'shen'jian 穿花蛱蝶深深见
'chuan'hua'ta'yue'yin'cun'jiu 穿花踏月饮村酒
'chuan'hu'bei'li'ren 传呼北里人
'chuan'hu'cao'shi'lai'xie'ke 传呼草市来携客
'chuan'hu'da'jia'lai 传呼大驾来
'chuan'hu'fa'bu'an'ni'chang 传呼法部按霓裳
'chuan'hu'gu'chui'yong'bu'qu 传呼鼓吹拥部曲
'chuan'hui'qu'bao'yuan 川回曲抱原
'chuan'hu'wan'sui'za'chun'sheng 传呼万岁杂春声
'chuan'hu'wen'li'lv 传呼问里闾
'chuan'hu'xian'zhang'jiu'tian'lai 传呼仙仗九天来
'chuan'hu'yi'he'ji 传呼一何急
'chuan'hu'you'zai'er 传呼犹在耳
'chuan'jia'ge'zi'wen'shi'li 传家各自闻诗礼
'chuan'jia'shi'lv'xi 传家诗律细
'chuan'jia'you'yi'bo 传家有衣钵
'chuan'ji'chang'qing 传其常情
'chuan'jie'guang'yang'cheng 川接广阳城
'chuan'jie'hai'min'zhang 传节还闽嶂
'chuan'ji'fu'yan'lian 川霁浮烟敛
'chuan'jing'duan'chang'wang 川经断肠望
'chuan'jing'er'nan 穿径而南
'chuan'jiong'dong'ting'kai 川迥洞庭开
'chuan'jiong'qi'xing'shu 川迥骑行疏
'chuan'jue'zhu'xiang'tong 传诀注香童
'chuan'kai'zhi'ji'liu 船开值急流
'chuan'kan'yi'zuo'song 传看一坐耸
'chuan'lang'ri'shu'guang 穿浪日舒光
'chuan'lian'hai'yan'shuang'fei'qu 穿帘海燕双飞去
'chuan'lian'ru'hu'chui'deng'mie 穿帘入户吹灯灭
'chuan'li'hong'ze'an'tou'sha 船离洪泽岸头沙
'chuan'lin'ru'wu'qi'lu'chang 穿林入坞岐路长
'chuan'lin'xian'mi'ye'xiong'miao 穿林闲觅野芎苗
'chuan'lin'yi'bu'nian 穿林移步辇
'chuan'li'pi'pa'jin'han'bo 船里琵琶金捍拨
'chuan'liu'cun'shi'nao 船留村市闹
'chuan'liu'pi'zhen'cou 川陆疲臻凑
'chuan'lou'xiao'zhu'cheng 穿露晓珠呈
'chuan'lu'ji'tiao'tiao 川路几迢迢
'chuan'ming'duan'wu'xiao 川明断雾销
'chuan'ming'fen'wei'shui 川明分渭水
'chuan'ming'lun'jiang'lu 舛命沦江路
'chuan'mu'an'cheng'yin 川暮广城阴
'chuan'niao'luan'sha'zhou 川鸟乱沙洲
'chuan'ping'niu'bei'wen 川平牛背稳
'chuan'ping'qiao'shi're'qing'hong 川平桥势若晴虹
'chuan'ping'shan'kai'lin'lu'duan 川平山开林麓断
'chuan'ping'wang'chao'hu 川平望超忽
'chuan'ping'yan'wu'kai 川平烟雾开
'chuan'ping'zhao'ju'qi 川平棹举齐
'chuan'po'tai'hen'e'sun'ya 穿破苔痕恶笋芽
'chuan'qiao'du'jian'zhi'xian'hang 穿桥度堑只闲行
'chuan'qin'bi'duan'feng 川禽避断风
'chu'an'qiong'bian'lu'shao'kan 出按穷边虏稍戡
'chuan'qu'chuan'lai'zi'bu'ting 船去船来自不停
'chuan'qu'yu'xiao'shao 传曲与箫韶
'chuan'ru'ying'men'na 传入应门内
'chuan'shang'guan'xian'jiang'mian'lu 船上管弦江面绿
'chuan'shang'guan'xian'jiang'mian'lu 船上管弦江面渌
'chuan'shang'kan'shan'ru'zou'ma 船上看山如走马
'chuan'shang'san'gu'ba 传觞三鼓罢
'chuan'shang'shu'cong'chen 传觞属从臣
'chuan'shang'yue'nan'liu 川上月难留
'chuan'sheng'mo'bi'huang'jin'wu 传声莫闭黄金屋
'chuan'sheng'wei'xiang'yang'zhou'wen 传声为向扬州问
'chuan'sheng'zou'ma'kai'jin'wu 传声走马开金屋
'chuan'shi'jie'jie'he 川泽皆竭涸
'chuan'shuo'you'kan'yi'ri'kua 传说犹堪异日夸
'chuan'shu'qing'niao'ying'xiao'feng 传书青鸟迎箫凤
'chuan'song'zuo'jing'shi'cheng'san 穿松作径适成三
'chuan'suo'zhi'qi'shui'shang'hun 川锁支祁水尚浑
'chuan'su'qi'liang'yuan 传素期良愿
'chuan'tou'chao'zhuai'mu'qian'li 船头朝转暮千里
'chuan'tou'gu'ji'feng'chu'shu 船头鼓急风初熟
'chuan'tou'hang'bei'gui 船头行北归
'chuan'tou'jiang'shui'mang'mang 船头江水茫茫
'chuan'tou'ji'gu'hai'xiang'hu 船头击鼓还相呼
'chuan'tou'ji'shen'ge'jiao'jiu 船头祭神各浇酒
'chuan'tou'she'ou'si'an'qian 船头折藕丝暗牵
'chuan'tou'yi'qu'mei'hui'ji 船头一去没回期
'chuan'tou'zhuo'xian'xi'lv'lv 船头斫鲜细缕缕
'chuan'tu'hai'xian'qiong 川途海县穷
'chuan'tu'liang'zu'xiu 川涂良阻修
'chuan'tu'miao'bei'liu 川途眇北流
'chuan'tu'nan'bei'kai'wang'qing 川涂南北岂忘情
'chuan'tu'qu'wu'xian 川途去无限
'chuan'tu'shu'hu'jian 川途倏忽间
'chuan'tu'you'zai'jin 川途犹在晋
'chuan'wei'chui'yu'xiang'fu'fu 船尾炊玉香浮浮
'chuan'wei'jing'ji'bo 川为静其波
'chuan'wei'tao'yu'bo'la'ming 船尾跳鱼拨剌鸣
'chuan'wei'xue'man'man 穿帷雪漫漫
'chuan'wen'bei'shi'lai 传闻北使来
'chuan'wen'ci'chu'tou'gan'zhu 传闻此处投竿住
'chuan'wen'ci'shan'zhong 传闻此山中
'chuan'wen'di'le'zou'jun'tian 传闻帝乐奏钧天
'chuan'wen'dou'xia'shi'ri'yu 传闻都下十日雨
'chuan'wen'ge'pu'xie 传闻合蒲叶
'chuan'wen'guan'jiu'yi'zi'qing 传闻官酒亦自清
'chuan'wen'hui'hao'po'rong'yi 传闻挥毫颇容易
'chuan'wen'jiang'chui'zuo 船稳江吹坐
'chuan'wen'jiao'zhou'chu'ling'liang 传闻交州初陵梁
'chuan'wen'jiu'ding'lun'si'shang 传闻九鼎沦泗上
'chuan'wen'sha'hua'shi 传闻杀画师
'chuan'wen'sheng'zhi'xiang'qin'jing 传闻圣旨向秦京
'chuan'wen'shi'zhe'lai 传闻使者来
'chuan'wen'tian'yu'ci'mai'yin 传闻天玉此埋堙
'chuan'wen'xiang'wang'shi 传闻襄王世
'chuan'wen'xia'shan'hao 传闻峡山好
'chuan'wen'xie'xuan'lv 传闻叶悬履
'chuan'wen'yi'jian'da'guan'shan 传闻已减大官膳
'chuan'wen'ying'yang'ren 传闻颍阳人
'chuan'wen'you'niao'ji'chao'yang 传闻有鸟集朝阳
'chuan'wen'you'xiang'chuang 传闻有象床
'chuan'wen'you'xian'yao 传闻有仙要
'chuan'wen'you'yi'yong'you'ce 传闻有意用幽侧
'chuan'wen'zhen'guan'zhong 传闻贞观中
'chuan'wen'zhi'ci'hui 传闻至此回
'chuan'wen'zhi'jing'wu'li'hu 传闻治境无戾虎
'chuan'wen'zhi'nv'dui'qian'niu 传闻织女对牵牛
'chuan'wo'nian'jing'zhou 传我念京周
'chuan'wu'chuan'qiang'bu'zhi'zhi 穿屋穿墙不知止
'chuan'wu'liang 川无梁
'chuan'wu'liang'xi'lu'wu'qi 川无梁兮路无岐
'chuan'xia'guang'ling'qu 船下广陵去
'chuan'xia'jing'men'di 川狭旌门抵
'chuan'xiang'dou'cheng'hui 川向斗城回
'chuan'xin'wu'you'wu 传心晤有物
'chuan'xu'bu'yan'qu 穿溆不厌曲
'chuan'xu'ji'liu'ming 川虚积溜明
'chuan'yan'du'ling'jiao'li'jian 穿岩度岭脚力健
'chuan'yan'sha'hua'shi 传言杀画师
'chuan'yan'yu'nv 传言玉女
'chuan'yong'huai'yuan'lu 传拥淮源路
'chuan'yong'zheng'er'pa 传咏正而葩
'chuan'you'ou'xiang'zhong 穿幽偶相重
'chuan'yuan'dei'shang'liu 川源得上流
'chuan'yuan'hang'shao'wen 川原行稍稳
'chuan'yu'an'ke'xian 川鱼安可羡
'chuan'yuan'lao'zai'chi 川原劳载驰
'chuan'yuan'mi'jiu'guo 川原迷旧国
'chuan'yuan'rao'du'wu 川原绕毒雾
'chuan'yuan'rao'du'wu 川原饶毒雾
'chuan'yuan'san'jin'bie 川原三晋别
'chuan'yuan'shen'chong'fu 川原信重复
'chuan'yuan'si'wang'tong 川源四望通
'chuan'yuan'si'wang'yu'gao'xia 川原四望郁高下
'chuan'yuan'ying'wei'shao'hong'xia 川源应未少红霞
'chuan'yu'bao'jia'qi 传语报佳期
'chuan'yu'bi'men'chen'zheng'zi 传语闭门陈正字
'chuan'yu'feng'guang'gong'liu'zhuan 传语风光共流转
'chuan'yu'feng'liu'san'yu'yuan 传语风流三语掾
'chuan'yu'hao'zhou'xian'ci'shi 传语濠州贤刺史
'chuan'yu'hou'lai'zhe 传语后来者
'chuan'yun'dan'jue'yi'qiu'chong 穿云但觉衣裘重
'chuan'yun'gu'long'zhong 传云古隆中
'chuan'yu'pi'pa'xin'zi'zhi 传与琵琶心自知
'chuan'yu'yun'jian'wu'lao 传语云间五老
'chuan'zai'chui'yang'an 船在垂杨岸
'chuan'zai'yin'shu'lue 传载因疏略
'chuan'zao'ben'duo'ji 穿凿本多奇
'chuan'zhao'qin'fu'yu'qi'lin 传诏亲付玉麒麟
'chuan'zhe'de'shen'qi 传者得神器
'chuan'zhen'lou'shang'ceng'feng 穿针楼上曾逢
'chuan'zhen'lou'shang'nv 穿针楼上女
'chuan'zhi'qi'ren 传之其人
'chuan'zhi'qi'shi'you'er'dai 传之七十有二代
'chuan'zhi'yuan'shan'qi 传置远山蹊
'chuan'zhong'sheng'zhang'le'feng'bo 船中生长乐风波
'chuan'zhong'wei'man'duo'qian'zhou 船中未满度前洲
'chuan'zhu'fei'qiu'li 穿筑非求丽
'chuan'zhu'long'mu'wei'chi'tai 穿筑陇亩为池台
'chuan'zhu'niao'sheng'jing'bu'wu 穿竹鸟声惊步武
'chuan'zhuo'huan'li'yan 传酌缓离颜
'chu'ao'kui'wang'sun 楚媪馈王孙
'chu'bao'shuang'han 初报霜寒
'chu'ba'yue 初八月
'chu'bei'xi'er'bu'bei 处卑细而不惫
'chu'ben'wu'xin'gui'yi'hao 出本无心归亦好
'chu'bi'jian'li'le 出必见礼乐
'chu'bi'liu'zhu'yi 初拂六铢衣
'chu'bing'ju'dong'qi 楚兵遽东起
'chu'bing'man'di'nai'zhu'qin 楚兵满地能逐禽
'chu'bi'yu'tang'ru'jin'shi 出彼玉堂入金室
'chu'bo'qing'shi'cheng'zou'bi 触拨清诗成走笔
'chu'bo'tao 触波涛
'chu'bo'tao'er'wang'lai'zhe 触波涛而往来者
'chu'bo'zheng'si'yi 楚踣争兕殪
'chu'bu'bing'ji'chao'ran 初不病其超然
'chu'bu'yi'jia'bin 初不疑嘉宾
'chu'bu'ze'suo'shi 初不择所适
'chu'bu'zhi'hu'ji'qian'wan'la 矗不知乎几千万落
'chu'bu'zhi'suo'chi 处不知所持
'chu'bu'zi'ji'ren'wu'zhi 初不自期人误知
'chu'cang'jin'yao'wu 储藏尽妖物
'chu'can'mei'ma'ci 出参枚马词
'chu'chang'xue'ru'hou 初尝雪入喉
'chu'chao'yang 褚朝阳
'chu'chen'bei'luo'ye 楚臣悲落叶
'chu'cheng'jian'wo'ding'jing'jie 出城见我定惊嗟
'chu'cheng'qian'xiao'xi 储诚虔晓夕
'chu'cheng'san'ri'shang'wei'chi 出城三日尚逶迟
'chu'cheng'si'gu 出城四顾
'chu'chen'shang'jiang'feng 楚臣伤江枫
'chu'chen'xi'ma 除臣洗马
'chu'che'peng'peng 出车彭彭
'chu'chuan'xiang'reng'shi'jing'pin 厨传相仍市井贫
'chu'chu'bai'tou'xin 处处白头新
'chu'chu'ban'chou'yan 处处伴愁颜
'chu'chu'bu'wo'mou 出处不我谋
'chu'chu'cai'ling'gui 处处采菱归
'chu'chu'chou'feng'yue 处处愁风月
'chu'chu'chun'feng'zhi'ke'hua 处处春风枳壳花
'chu'chu'ci'tian'zu 处处祠田祖
'chu'chu'dan'you'li 出处但有礼
'chu'chu'dei'xiang'sui 处处得相随
'chu'chu'ding'zhi'qiu'hou'bie 处处定知秋後别
'chu'chu'fan'hua 触处繁华
'chu'chu'feng'yan'qi 处处风烟起
'chu'chu'fu'kai'tu 出处夫岂徒
'chu'chu'fu'qian'ding 出处付前定
'chu'chu'ge'qiao'yu 处处各樵渔
'chu'chu'ge'you'qing 出处各有情
'chu'chu'ge'you'zai 出处各有在
'chu'chu'ge'zhong'ming 处处歌钟鸣
'chu'chu'gou'jiang'qing'yuan'jie 处处沟洚清源竭
'chu'chu'hao'mo'ce 出处浩莫测
'chu'chu'hua'kai'man 处处花开满
'chu'chu'huang'lu'cao 处处黄芦草
'chu'chu'jie'jia'jue 处处皆佳绝
'chu'chu'jing'ge'lai'mu 处处竞歌来暮
'chu'chu'jiu'xiang'liu 处处酒相留
'chu'chu'ju'ke'xi 出处俱可喜
'chu'chu'kai'zun'yi'bu'ci 处处开尊亦不辞
'chu'chu'kong'yi'cheng 出处恐异程
'chu'chu'leng'shen'zong 楚楚冷沈踪
'chu'chu'lian'fang'cao 处处怜芳草
'chu'chu'liang'xi'shi 出处良细事
'chu'chun'bian'fang'dian 初春遍芳甸
'chu'chu'nian'lai'hen'bu'qi 出处年来恨不齐
'chu'chu'qing'qing'ke'chou'chang 处处轻轻可惆怅
'chu'chu'qi'yan'xia 处处起烟霞
'chu'chu'qi'yi'min 处处泣遗民
'chu'chu'shan'chuan'tong'zhang'li 处处山川同瘴疠
'chu'chu'sheng'chen'shi'nian'hou 出处升沉十年后
'chu'chu'sheng'ge'ding'fei 触处笙歌鼎沸
'chu'chu'shi'hua'kai 触处似花开
'chu'chu'shi'tong'jin 处处是通津
'chu'chu'shui'chan'chan 处处水潺潺
'chu'chu'shu'tu'ting'suo'an 出处殊途听所安
'chu'chu'ta'qing'dou'cao 处处踏青斗草
'chu'chu'tun'cang'yun 处处屯苍云
'chu'chu'wen'shu'ru'pu'xian 处处文殊入普贤
'chu'chu'wen'ti'niao 处处闻啼鸟
'chu'chu'xiang'fan'zuo'hao'ge 处处相烦作好歌
'chu'chu'xiang'sui'ru'dao'chang 处处相随入道场
'chu'chu'xiang'yin'ge 处处湘阴合
'chu'chu'xiao'hun 处处销魂
'chu'chu'xin'chou 处处新愁
'chu'chu'xun'fang'you'zhe'hen 处处寻芳有折痕
'chu'chu'ye'mei'kai 处处野梅开
'chu'chu'yi'fu 楚楚衣服
'chu'chu'yi'xi'shi'le'tian 出处依稀似乐天
'chu'chu'zhu'cha'teng'yi'zhi 处处煮茶藤一枝
'chu'chu'zong'yuan'cheng 处处总圆成
'chu'chu'zu'huan'sheng 处处足欢声
'chu'chu'zuo'fo'shi'rao'yi 处处作佛事饶益
'chu'ci'ben 楚词体
'chu'ci'liang'weng'xiang'jian'wai 除此两翁相见外
'chu'cong'ji'zhi'you 初従季直游
'chu'dan'fu'yu'ren'wei'shi 初啖鳆鱼人未识
'chu'dan'lu'shui'hou'chu'fei 初弹渌水后楚妃
'chu'dan'man'tang'chi 触石满堂侈
'chu'dan'yun'cheng'rui 触石云呈瑞
'chu'dao'jiu'li'hui 出到九里回
'chu'de'e'ji'duo'mei'xu 初得恶疾堕眉须
'chu'de'kai'cheng'yao 初地岂成遥
'chu'de'sheng'yin'tong 初地胜因通
'chu'dian'gong'wang'ri 楚甸供王日
'chu'diao'wu'dong'guo'shi 出吊於东郭氏
'chu'diao'wu'teng 出吊於滕
'chu'di'guai'xu'liu'ji'an 楚地怪须留汲黯
'chu'di'huang'mang'fei'gu'ji 楚地荒茫非故基
'chu'di'su'duo'ci'fu'yin 楚地俗多词赋淫
'chu'di'yin'zhang'chu 触地银獐出
'chu'dong'qiang 出东墙
'chu'dong'wu'lun'ge'shan'shui 出洞无论隔山水
'chu'dong'ye'yin 初冬夜饮
'chu'dou'xi'quan'sheng 楚都昔全盛
'chu'dou'ye'mi'fang 楚豆野麋方
'chu'e'er'fa'zhi 楚恶而伐之
'chu'er 楚儿
'chu'er'jian'ke 出而见客
'chu'er'wa'zhi 出而哇之
'chu'er'wei'lie'zi'yue 出而谓列子曰
'chu'e'wu'ben'gen 除恶务本根
'chu'e'wu'jin 除恶务尽
'chu'fan'cheng'na'chi 触藩诚内耻
'chu'fan'liao'fu'jie'hu'feng 楚帆聊复借湖风
'chu'fa'yang'zi'ji'yuan'da'jiao'shu 初发扬子寄元大校书
'chu'fei'gong'yi'zhi'dao 除非共伊知道
'chu'fei'ji'mo'wei 除非己莫为
'chu'fei'li'duo'you 储妃礼度优
'chu'fei'shi'jian'yi'shi 除非是见伊时
'chu'fei'wen'qu'huang'li 除非问取黄鹂
'chu'fei'wu'wai'zhe 除非物外者
'chu'feng'hua'shang'yue 初逢花上月
'chu'feng'piao'dai'liu 初风飘带柳
'chu'feng'qing'yu'lao'feng'sheng 雏凤清于老凤声
'chu'feng'shan'yu'qing 初逢山雨晴
'chu'fen'shi'xiong'yi 处分适兄意
'chu'fu'dan'tong'pi 楚服但同披
'chu'fu'duo'qi'shan 楚服多奇山
'chu'fu'fan'lin'qiu 初服返林丘
'chu'fu'he'li'gu 初扶鹤立骨
'chu'fu'yi'fei'ran 初服已非然
'chu'fu'yi'xu'chuan 楚赋亦虚传
'chu'gao'xin'bu'you 处高心不有
'chu'gao'yi'zi'zhu 出膏以自煮
'chu'ge'jiao'wei'cheng 楚歌娇未成
'chu'geng'guo 初更过
'chu'geng'yue'shi'que'ban'bi 初更月蚀缺半璧
